data_type,function,model,score,score_avg,score_fmted
pure_cebab,PLMs,bert-base-uncased,"[(0.6939017169923032, 0.8049232066990827)]","(69.39017169923032, 80.49232066990827)",69.39/80.49
pure_cebab,PLMs,roberta-base,"[(0.7199526346950859, 0.8205681784437706)]","(71.99526346950859, 82.05681784437706)",72.00/82.06
pure_cebab,PLMs,gpt2,"[(0.6536412078152753, 0.7806376293063517)]","(65.36412078152753, 78.06376293063518)",65.36/78.06
pure_cebab,PLMs,lstm,"[(0.46773238602723505, 0.6615763918824381)]","(46.7732386027235, 66.1576391882438)",46.77/66.16
aug_cebab,PLMs,bert-base-uncased,"[(0.7151335311572701, 0.8172065381140037)]","(71.51335311572701, 81.72065381140037)",71.51/81.72
aug_cebab,PLMs,roberta-base,"[(0.7347181008902077, 0.8281883218063673)]","(73.47181008902078, 82.81883218063672)",73.47/82.82
aug_cebab,PLMs,gpt2,"[(0.6729970326409496, 0.7805970306544109)]","(67.29970326409496, 78.05970306544108)",67.30/78.06
aug_cebab,PLMs,lstm,"[(0.49614243323442137, 0.671904232993641)]","(49.61424332344214, 67.1904232993641)",49.61/67.19
pure_cebab,CBE-PLMs,bert-base-uncased,"[(0.7087033747779752, 0.8142729941164699)]","(70.87033747779752, 81.427299411647)",70.87/81.43
pure_cebab,CBE-PLMs,roberta-base,"[(0.7217288336293665, 0.820606596203295)]","(72.17288336293664, 82.0606596203295)",72.17/82.06
pure_cebab,CBE-PLMs,gpt2,"[(0.6808762581409118, 0.791922661932602)]","(68.08762581409118, 79.1922661932602)",68.09/79.19
pure_cebab,CBE-PLMs,lstm,[],"(0.0, 0.0)",0.00/0.00
aug_cebab,CBE-PLMs,bert-base-uncased,"[(0.7020771513353116, 0.811103399591832)]","(70.20771513353115, 81.1103399591832)",70.21/81.11
aug_cebab,CBE-PLMs,roberta-base,"[(0.712166172106825, 0.8148822180124403)]","(71.2166172106825, 81.48822180124404)",71.22/81.49
aug_cebab,CBE-PLMs,gpt2,"[(0.6824925816023739, 0.7918622147749493)]","(68.24925816023739, 79.18622147749494)",68.25/79.19
aug_cebab,CBE-PLMs,lstm,[],"(0.0, 0.0)",0.00/0.00
pure_cebab,CBE-PLMs-CM,bert-base-uncased,"[(0.5725281231497927, 0.7108355438521683), (0.6832445233866193, 0.786357421653241), (0.6980461811722913, 0.8076655250271454), (0.664890467732386, 0.790546817230255), (0.7045589105979869, 0.8117938569930278), (0.709295441089402, 0.8117764801034563), (0.7110716400236826, 0.8164034696437931), (0.7164002368265245, 0.8184513669245643), (0.7169923031379515, 0.8210077023548227), (0.6832445233866193, 0.7963551582382081), (0.7087033747779752, 0.8142189603256508), (0.6956779159265838, 0.8047913433779881), (0.709295441089402, 0.8125953200902112), (0.7015985790408525, 0.8106822644589995), (0.6891651865008881, 0.8041516985360799), (0.7116637063351096, 0.817190966330549), (0.6956779159265838, 0.8078172215886574), (0.7010065127294257, 0.8108494708472854), (0.7010065127294257, 0.8098371890373517), (0.6986382474837182, 0.8087414745783233)]","(69.36352871521613, 80.36034625595889)",69.36/80.36
pure_cebab,CBE-PLMs-CM,roberta-base,"[(0.6678507992895204, 0.7753249125561611), (0.7063351095322676, 0.8129064709967141), (0.6968620485494376, 0.8046936310030535), (0.6927175843694494, 0.8033509331091464), (0.7199526346950859, 0.8214657538561786), (0.7045589105979869, 0.8090367896912227), (0.7075192421551214, 0.813844874097579), (0.7300177619893428, 0.8244721026075166), (0.7110716400236826, 0.8165249322750441), (0.7158081705150977, 0.812729899406661), (0.7164002368265245, 0.8189315596533099), (0.7152161042036708, 0.8203147480417913), (0.7229129662522202, 0.8230731497969636), (0.6998223801065719, 0.810064996521757), (0.7329780935464772, 0.8285251943352175), (0.7193605683836589, 0.8204155726364449), (0.7282415630550622, 0.8258783761450834), (0.738898756660746, 0.832792250026008), (0.7015985790408525, 0.8055319316151086), (0.6998223801065719, 0.8062743520595153)]","(71.13972764949675, 81.43076215215237)",71.14/81.43
pure_cebab,CBE-PLMs-CM,gpt2,"[(0.4837181764357608, 0.5996217527654535), (0.5737122557726465, 0.7045389094322229), (0.6631142687981054, 0.7726214012309883), (0.650088809946714, 0.7797078552680657), (0.6607460035523979, 0.7880953842717203), (0.6731793960923623, 0.7903092010395805), (0.6571936056838366, 0.7782544240169016), (0.6743635287152161, 0.7885779849694441), (0.6560094730609828, 0.7776478928170598), (0.6542332741267022, 0.7807596461428232), (0.6583777383066903, 0.7773383699969182), (0.6642984014209592, 0.781207335751154), (0.6791000592066312, 0.7935940203337066), (0.6897572528123149, 0.8010608657728273), (0.6779159265837774, 0.7935182910560203), (0.6844286560094731, 0.8002214934460177), (0.6601539372409709, 0.780626472986079), (0.6631142687981054, 0.785668786983672), (0.6092362344582594, 0.7435346520097942), (0.6423919478981646, 0.7706639914328995)]","(64.87566607460036, 76.93784365861674)",64.88/76.94
pure_cebab,CBE-PLMs-CM,lstm,"[(0, 0)]","(0.0, 0.0)",0.00/0.00
aug_cebab,CBE-PLMs-CM,bert-base-uncased,"[(0.6682492581602374, 0.7808288174100516), (0.6991097922848665, 0.8025772790098429), (0.6913946587537092, 0.8015371353202099), (0.714540059347181, 0.8165364067895439), (0.6943620178041543, 0.8072773011806328), (0.7109792284866469, 0.8169493392384893), (0.7192878338278932, 0.8211684367882421), (0.7097922848664688, 0.8189441764394308), (0.7210682492581603, 0.8203641007049264), (0.7151335311572701, 0.8206773296672708), (0.7062314540059347, 0.8131223563068838), (0.7020771513353116, 0.8126372969757736), (0.7038575667655786, 0.8142537973568998), (0.7091988130563798, 0.8150193625927933), (0.7115727002967359, 0.8163571655418801), (0.7097922848664688, 0.8156241944013164), (0.7198813056379822, 0.8196420423470091), (0.7008902077151336, 0.8093931068043038), (0.7181008902077152, 0.8209068976945334), (0.7181008902077152, 0.8205433903842984)]","(70.71810089020772, 81.32179966477167)",70.72/81.32
